"assessment_name","category","job_roles","skills","level","description"
"Verbal Reasoning","Technical","HR|Finance Analyst|Director","algorithms|influence|logic","Senior","This assessment measures a candidate's proficiency in algorithms, influence, logic and is suitable for HR, Finance Analyst, Director roles."
"Technical Skills Test","Technical","HR|Sales|Customer Service","data interpretation|conflict resolution|time management|decision making","Entry","This assessment measures a candidate's proficiency in data interpretation, conflict resolution, time management, decision making and is suitable for HR, Sales, Customer Service roles."
"Team Collaboration","Cognitive","HR|Manager","coding|reading|planning|attention to detail","Entry","This assessment measures a candidate's proficiency in coding, reading, planning, attention to detail and is suitable for HR, Manager roles."
"Verbal Reasoning","Personality","Software Engineer|Team Lead|Marketing","leadership|conflict resolution|planning|attention to detail","Senior","This assessment measures a candidate's proficiency in leadership, conflict resolution, planning, attention to detail and is suitable for Software Engineer, Team Lead, Marketing roles."
"Technical Skills Test","Cognitive","Director|Finance Analyst|Operations","debugging|behavioral traits|communication","Mid","This assessment measures a candidate's proficiency in debugging, behavioral traits, communication and is suitable for Director, Finance Analyst, Operations roles."
"Emotional Intelligence","Personality","IT","problem solving|personality|ethics|decision making","Mid","This assessment measures a candidate's proficiency in problem solving, personality, ethics, decision making and is suitable for IT roles."
"Verbal Reasoning","Cognitive","Operations|Finance Analyst","behavioral traits|math","Senior","This assessment measures a candidate's proficiency in behavioral traits, math and is suitable for Operations, Finance Analyst roles."
"Critical Thinking","Personality","Software Engineer|Customer Service","conflict resolution|planning|math|behavioral traits","All","This assessment measures a candidate's proficiency in conflict resolution, planning, math, behavioral traits and is suitable for Software Engineer, Customer Service roles."
"Time Management Test","Behavioral","Director|Software Engineer|HR","reading|judgment|planning","All","This assessment measures a candidate's proficiency in reading, judgment, planning and is suitable for Director, Software Engineer, HR roles."
"Team Collaboration","Personality","Finance Analyst|Operations","logic|attention to detail","Senior","This assessment measures a candidate's proficiency in logic, attention to detail and is suitable for Finance Analyst, Operations roles."
"Conflict Resolution","Personality","IT","planning|attention to detail|time management|influence","All","This assessment measures a candidate's proficiency in planning, attention to detail, time management, influence and is suitable for IT roles."
"Numerical Reasoning","Personality","Customer Service|Team Lead|IT","coding|attention to detail","Entry","This assessment measures a candidate's proficiency in coding, attention to detail and is suitable for Customer Service, Team Lead, IT roles."
"Critical Thinking","Personality","Marketing","personality|time management|data interpretation|problem solving","Senior","This assessment measures a candidate's proficiency in personality, time management, data interpretation, problem solving and is suitable for Marketing roles."
"Project Management","Technical","Operations|Finance Analyst|Manager","reading|logic|time management","Mid","This assessment measures a candidate's proficiency in reading, logic, time management and is suitable for Operations, Finance Analyst, Manager roles."
"Leadership Assessment","Technical","Manager","personality|conflict resolution","Mid","This assessment measures a candidate's proficiency in personality, conflict resolution and is suitable for Manager roles."
"Team Collaboration","Personality","Manager|Marketing","conflict resolution|planning","Entry","This assessment measures a candidate's proficiency in conflict resolution, planning and is suitable for Manager, Marketing roles."
"Critical Thinking","Behavioral","Developer","time management|attention to detail","All","This assessment measures a candidate's proficiency in time management, attention to detail and is suitable for Developer roles."
"Agile Mindset","Technical","Finance Analyst|Manager|Sales","communication|debugging","Senior","This assessment measures a candidate's proficiency in communication, debugging and is suitable for Finance Analyst, Manager, Sales roles."
"Critical Thinking","Personality","Software Engineer","problem solving|decision making","Entry","This assessment measures a candidate's proficiency in problem solving, decision making and is suitable for Software Engineer roles."
"Team Collaboration","Cognitive","Manager|Customer Service|IT","algorithms|attention to detail|ethics","Entry","This assessment measures a candidate's proficiency in algorithms, attention to detail, ethics and is suitable for Manager, Customer Service, IT roles."
"Situational Judgment Test","Personality","Customer Service|Team Lead|Data Analyst","influence|data interpretation","Senior","This assessment measures a candidate's proficiency in influence, data interpretation and is suitable for Customer Service, Team Lead, Data Analyst roles."
"Conflict Resolution","Personality","Marketing|Team Lead","ethics|influence|personality","Entry","This assessment measures a candidate's proficiency in ethics, influence, personality and is suitable for Marketing, Team Lead roles."
"Critical Thinking","Behavioral","Team Lead|Marketing|IT","behavioral traits|decision making|planning","Mid","This assessment measures a candidate's proficiency in behavioral traits, decision making, planning and is suitable for Team Lead, Marketing, IT roles."
"Critical Thinking","Cognitive","Finance Analyst|Team Lead","conflict resolution|time management","Mid","This assessment measures a candidate's proficiency in conflict resolution, time management and is suitable for Finance Analyst, Team Lead roles."
"Managerial Aptitude","Personality","Data Analyst|Sales","influence|judgment|math","All","This assessment measures a candidate's proficiency in influence, judgment, math and is suitable for Data Analyst, Sales roles."
"Numerical Reasoning","Behavioral","Data Analyst","planning|math|algorithms|logic","All","This assessment measures a candidate's proficiency in planning, math, algorithms, logic and is suitable for Data Analyst roles."
"Customer Orientation","Technical","Marketing","decision making|time management","Senior","This assessment measures a candidate's proficiency in decision making, time management and is suitable for Marketing roles."
"Technical Skills Test","Technical","Customer Service|Data Analyst|IT","attention to detail|data interpretation|problem solving|time management","Mid","This assessment measures a candidate's proficiency in attention to detail, data interpretation, problem solving, time management and is suitable for Customer Service, Data Analyst, IT roles."
"Project Management","Cognitive","Operations|Customer Service|Data Analyst","attention to detail|behavioral traits|leadership|strategy","All","This assessment measures a candidate's proficiency in attention to detail, behavioral traits, leadership, strategy and is suitable for Operations, Customer Service, Data Analyst roles."
"Personality - OPQ","Personality","Customer Service|Developer","math|leadership","Mid","This assessment measures a candidate's proficiency in math, leadership and is suitable for Customer Service, Developer roles."
"Team Collaboration","Technical","Software Engineer|Marketing|HR","problem solving|logic|decision making|strategy","Senior","This assessment measures a candidate's proficiency in problem solving, logic, decision making, strategy and is suitable for Software Engineer, Marketing, HR roles."
"Time Management Test","Cognitive","HR|Finance Analyst|Customer Service","personality|judgment|strategy","Entry","This assessment measures a candidate's proficiency in personality, judgment, strategy and is suitable for HR, Finance Analyst, Customer Service roles."
"Verbal Reasoning","Technical","Director|Customer Service","math|coding|logic|time management","All","This assessment measures a candidate's proficiency in math, coding, logic, time management and is suitable for Director, Customer Service roles."
"Sales Aptitude","Cognitive","Manager|Marketing|Software Engineer","influence|personality|debugging","Senior","This assessment measures a candidate's proficiency in influence, personality, debugging and is suitable for Manager, Marketing, Software Engineer roles."
"Agile Mindset","Technical","HR|Manager","data interpretation|algorithms","Senior","This assessment measures a candidate's proficiency in data interpretation, algorithms and is suitable for HR, Manager roles."
"Sales Aptitude","Technical","HR|Manager","time management|ethics","Senior","This assessment measures a candidate's proficiency in time management, ethics and is suitable for HR, Manager roles."
"Logical Reasoning","Behavioral","Finance Analyst|Customer Service","math|attention to detail|strategy|reading","All","This assessment measures a candidate's proficiency in math, attention to detail, strategy, reading and is suitable for Finance Analyst, Customer Service roles."
"Situational Judgment Test","Behavioral","Director","planning|influence|math","All","This assessment measures a candidate's proficiency in planning, influence, math and is suitable for Director roles."
"Time Management Test","Technical","Team Lead|Director","judgment|leadership","Mid","This assessment measures a candidate's proficiency in judgment, leadership and is suitable for Team Lead, Director roles."
"Leadership Assessment","Behavioral","Director|Developer","decision making|behavioral traits","All","This assessment measures a candidate's proficiency in decision making, behavioral traits and is suitable for Director, Developer roles."
